"Substance","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Amphetamine",100,112,112,141,145,123,135,410,548,166,174
"Cannabis resin",100,101,128,119,94,103,148,105,132,183,105
"Cocaine",100,91,85,114,114,199,255,296,312,448,476
"Herbal cannabis",100,109,119,80,137,216,170,140,169,274,284
"Heroin",100,96,175,91,83,110,223,205,104,227,191
"MDMA",100,54,136,158,333,318,304,312,267,246,171
"Methamphetamine",100,149,154,154,142,187,178,1037,647,351,393
