"Scope","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"EU",9040,11074,14242,17568,17103,15305,17292,20251,12621,10122,14504
"EU+2",13770,15759,18450,23821,23392,23090,28416,29948,19359,15431,19603
