"MDMA","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Content",100,121,118.11,114,122.29,186.38,154.58,199.97,197,178.7,160.46
"Price",100,104.16,103.65,104.03,107.22,101.22,100.9,103.05,101.77,103.59,95.19
