"Substance","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Amphetamines",100,114.4,138,143,124.2,136,141.7,129.8,109.3,135.3,127.5
"Cannabis",100,105.2,110.7,110.4,115.3,130,134.2,134.5,121,122.7,127.1
"Cocaine",100,97,104.7,101,106.5,131.7,141.9,157.2,138.9,147.3,168.4
"Heroin",100,91,91.1,95.4,88.4,91.9,92.8,88.1,81.7,87.9,86.8
"MDMA",100,108.8,141.5,186.6,202.5,223.2,234.7,271.4,170.2,144.4,164
