"Country","Country code","Survey year","Prevalence (%)","Substance","Recall period","Age","Sample size","Males (%)","Females (%)"
"Belgium","BE",2008,38.5,"Tobacco","Lifetime","Young adults (15-34)",2550,42.5,34.7
"Belgium","BE",2008,27.7,"Tobacco","Last month","All adults (15-64)",6792,31.6,24.1
"Belgium","BE",2008,27,"Tobacco","Last month","Young adults (15-34)",2550,32,22.3
"Bulgaria","BG",2020,8.7,"Cannabis","Lifetime","All adults (15-64)",3838,9.5,7.8
"Bulgaria","BG",2020,17.9,"Cannabis","Lifetime","Young adults (15-34)",1401,18.2,17.6
"Bulgaria","BG",2020,2.4,"Cannabis","Last year","All adults (15-64)",3838,2.6,2.2
"Bulgaria","BG",2020,5.9,"Cannabis","Last year","Young adults (15-34)",1401,5.7,6.1
"Bulgaria","BG",2020,1,"Cannabis","Last month","All adults (15-64)",3838,1,1.1
"Bulgaria","BG",2020,2.4,"Cannabis","Last month","Young adults (15-34)",1401,1.7,3.1
"Bulgaria","BG",2020,2,"Cocaine","Lifetime","All adults (15-64)",3838,2.5,1.5
"Bulgaria","BG",2020,3.7,"Cocaine","Lifetime","Young adults (15-34)",1401,3.6,3.9
"Bulgaria","BG",2020,0.6,"Cocaine","Last year","All adults (15-64)",3838,0.7,0.5
"Bulgaria","BG",2020,1.3,"Cocaine","Last year","Young adults (15-34)",1401,1.3,1.3
"Bulgaria","BG",2020,0.2,"Cocaine","Last month","All adults (15-64)",3838,0.2,0.2
"Bulgaria","BG",2020,0.4,"Cocaine","Last month","Young adults (15-34)",1401,0.4,0.4
"Bulgaria","BG",2020,2.1,"Amphetamines","Lifetime","All adults (15-64)",3838,2.6,1.7
"Bulgaria","BG",2020,4.4,"Amphetamines","Lifetime","Young adults (15-34)",1401,4.4,4.4
"Bulgaria","BG",2020,0.7,"Amphetamines","Last year","All adults (15-64)",3838,0.8,0.6
"Bulgaria","BG",2020,1.4,"Amphetamines","Last year","Young adults (15-34)",1401,1,1.8
"Bulgaria","BG",2020,0.2,"Amphetamines","Last month","All adults (15-64)",3838,0.3,0.2
"Bulgaria","BG",2020,0.5,"Amphetamines","Last month","Young adults (15-34)",1401,0.6,0.4
"Bulgaria","BG",2020,1.3,"Ecstasy","Lifetime","All adults (15-64)",3838,1.3,1.2
"Bulgaria","BG",2020,2.6,"Ecstasy","Lifetime","Young adults (15-34)",1401,1.7,3.6
"Bulgaria","BG",2020,0.2,"Ecstasy","Last year","All adults (15-64)",3838,0.2,0.3
"Bulgaria","BG",2020,0.7,"Ecstasy","Last year","Young adults (15-34)",1401,0.4,0.9
"Bulgaria","BG",2020,0.1,"Ecstasy","Last month","All adults (15-64)",3838,0.2,0
"Bulgaria","BG",2020,0.2,"Ecstasy","Last month","Young adults (15-34)",1401,0.4,0
"Bulgaria","BG",2020,0.2,"LSD","Lifetime","All adults (15-64)",3838,0.3,0.1
"Bulgaria","BG",2020,0.4,"LSD","Lifetime","Young adults (15-34)",1401,0.4,0.4
"Bulgaria","BG",2020,0.1,"LSD","Last year","All adults (15-64)",3838,0,0.1
"Bulgaria","BG",2020,0.2,"LSD","Last year","Young adults (15-34)",1401,0,0.4
"Bulgaria","BG",2020,0,"LSD","Last month","All adults (15-64)",3838,0,0
"Bulgaria","BG",2020,0,"LSD","Last month","Young adults (15-34)",1401,0,0
"Bulgaria","BG",2020,82.2,"Alcohol","Lifetime","All adults (15-64)",3838,88.5,76.4
"Bulgaria","BG",2020,78.4,"Alcohol","Lifetime","Young adults (15-34)",1401,83.6,73.3
"Bulgaria","BG",2020,74.3,"Alcohol","Last year","All adults (15-64)",3838,82,67.2
"Bulgaria","BG",2020,71.3,"Alcohol","Last year","Young adults (15-34)",1401,78.3,64.3
"Bulgaria","BG",2020,63.7,"Alcohol","Last month","All adults (15-64)",3838,74.1,54.1
"Bulgaria","BG",2020,60,"Alcohol","Last month","Young adults (15-34)",1401,66.1,54
"Bulgaria","BG",2020,65.9,"Tobacco","Lifetime","All adults (15-64)",3838,69.9,62.3
"Bulgaria","BG",2020,63.2,"Tobacco","Lifetime","Young adults (15-34)",1401,64.3,62.1
"Bulgaria","BG",2020,50.6,"Tobacco","Last year","All adults (15-64)",3838,53.9,47.6
"Bulgaria","BG",2020,51,"Tobacco","Last year","Young adults (15-34)",1401,51.1,50.9
"Bulgaria","BG",2020,49.1,"Tobacco","Last month","All adults (15-64)",3838,52.6,45.9
"Bulgaria","BG",2020,49.3,"Tobacco","Last month","Young adults (15-34)",1401,49.8,48.9
"Croatia","HR",2019,22.9,"Cannabis","Lifetime","All adults (15-64)",4994,28.8,16.9
"Croatia","HR",2019,36,"Cannabis","Lifetime","Young adults (15-34)",1967,42.5,29.2
"Croatia","HR",2019,10.2,"Cannabis","Last year","All adults (15-64)",4994,14.2,6.2
"Croatia","HR",2019,20.3,"Cannabis","Last year","Young adults (15-34)",1967,26.8,13.4
"Croatia","HR",2019,5.6,"Cannabis","Last month","All adults (15-64)",4994,8.1,3.1
"Croatia","HR",2019,11.3,"Cannabis","Last month","Young adults (15-34)",1967,16,6.5
"Croatia","HR",2019,4.8,"Cocaine","Lifetime","All adults (15-64)",4994,7,2.5
"Croatia","HR",2019,7.5,"Cocaine","Lifetime","Young adults (15-34)",1967,10.4,4.4
"Croatia","HR",2019,1.8,"Cocaine","Last year","All adults (15-64)",4994,2.8,0.9
"Croatia","HR",2019,3.9,"Cocaine","Last year","Young adults (15-34)",1967,5.9,1.8
"Croatia","HR",2019,0.9,"Cocaine","Last month","All adults (15-64)",4994,1.4,0.4
"Croatia","HR",2019,1.7,"Cocaine","Last month","Young adults (15-34)",1967,2.7,0.7
"Croatia","HR",2019,4.6,"Amphetamines","Lifetime","All adults (15-64)",4994,6.8,2.4
"Croatia","HR",2019,7.4,"Amphetamines","Lifetime","Young adults (15-34)",1967,10.4,4.3
"Croatia","HR",2019,1.8,"Amphetamines","Last year","All adults (15-64)",4994,2.6,1
"Croatia","HR",2019,3.5,"Amphetamines","Last year","Young adults (15-34)",1967,5,1.9
"Croatia","HR",2019,0.9,"Amphetamines","Last month","All adults (15-64)",4994,1.3,0.5
"Croatia","HR",2019,1.4,"Amphetamines","Last month","Young adults (15-34)",1967,1.9,0.8
"Croatia","HR",2019,4.2,"Ecstasy","Lifetime","All adults (15-64)",4994,6.1,2.4
"Croatia","HR",2019,6.6,"Ecstasy","Lifetime","Young adults (15-34)",1967,9.6,3.6
