"Scope code","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"EU",26.8,25.9,25.6,28.2,23.4,22.6,22.7,19.2,18.5,18.7,19.2
"EU+2",32.3,33.2,33.9,41.6,32.6,36.2,41.8,36.1,34.3,34.1,37.1
