Country,Substance,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Türkiye,Heroin,13.3,13.48,12.76,8.29,5.59,17.39,18.53,20.16,13.38,22.2,7.96
Greece,Heroin,0.33,0.24,2.53,0.57,0.22,0.36,0.21,0.4,0.3,0.36,0.14
Spain,Heroin,0.28,0.29,0.24,0.26,0.25,0.52,0.25,0.23,0.17,0.23,0.19
Bulgaria,Heroin,0.29,0.16,0.94,0.27,0.58,0.7,1.03,0.79,0.27,1.16,0.33
Italy,Heroin,0.94,0.88,0.93,0.77,0.5,0.61,0.98,0.61,0.51,0.57,0.55
Belgium,Heroin,0.11,1.18,0.15,0.12,0.1,0.05,4.54,1.93,0.68,1.55,1.28
France,Heroin,0.7,0.57,0.99,0.82,1.08,0.66,1.11,1.07,1.13,1.3,1.4
Other countries,Heroin,1.58,0.75,1.59,1.06,0.76,1.79,1.27,3.64,1.3,4.37,4.18
