"Age range","<15","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65+"
2010,0,2.8,13.9,20.5,19.7,16.8,14.1,8,3,0.9,0.2,0.1
2022,1,4.7,6.4,8.5,12.4,16,16.5,13.5,10.8,6.6,2.7,0.9
