"Country","City","Substance targeted","Current value","Previous value","Current year","Previous year","Percentage change","Change","SiteID","Location","Latitude","Longitude","Population","Institution"
"LU","Mamer","cocaine",257.44,,2023,,,"no previous data","LU002","Mamer",49.6275,6.0145,11268,"Laboratoire national de santÃ©"
"SI","Maribor","cocaine",394.89,240.47,2023,2022,"64.2","increase","SI005","Maribor",46.55734,15.64591,129000,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"LU","Mersch","cocaine",284.4,,2023,,,"no previous data","LU003","Beringen",49.74811,6.10546,32157,"Laboratoire national de santÃ©"
"IT","Milan","cocaine",369.18,390.11,2023,2022,"-5.4","stable","IT002","Nosedo",45.4337997,9.2213602,1195875,"Mario Negri Institute"
"DE","Munich G","cocaine",301.46,236.41,2023,2022,"27.5","increase","DE026","Gut Grosslappen",48.14,11.58,1156000,"Clinical Pharmacology TU Dresden"
"CY","Nicosia (2)","cocaine",65.27,46.12,2023,2022,"41.5","increase","CY005","Sewage treatment plant of Pano Deftera (Anthoupoli)-Sewerage Board of Nicosia; Sewage treatment plant of Vathia Gonia-Sewerage Board of Nicosia",35.17,33.4,104562,"N/A"
"SI","Novo mesto","cocaine",303.06,261.13,2023,2022,"16.100000000000001","increase","SI006","Wastewater treatment plant Novo mesto",45.804211,15.16969,25414,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"DE","Nuremberg","cocaine",103.7,61.86,2023,2022,"67.599999999999994","increase","DE028","NÃ¼rnberg",49.452101999999996,11.076665,445593,"Clinical Pharmacology TU Dresden"
"CZ","Ostrava","cocaine",99.11,71.68,2023,2022,"38.299999999999997","increase","CZ004","ÃšÄŒOV Ostrava",49.833864,18.281034,250000,"T.G.Masaryk Water Research Institute"
"CY","Paphos","cocaine",35.46,32.31,2023,2022,"9.6999999999999993","stable","CY007","Sewage Borad of Pafos",34.7758536275518,32.4215949998929,125616,"Magda Psichoudaki - Nireas IWRC"
"FR","Paris Seine Centre","cocaine",616.48,427.42,2023,2021,"44.2","increase","FR005","Seine Centre",48.95,2.27,411831,"Mario Negri Institute"
"SK","Piestany","cocaine",35.77,41.33,2023,2022,"-13.5","decrease","SK004","Piestany",48.5918007,17.8019009,35000,"University of South Bohemia in ÄŒeskÃ© Budejovice - VodÅˆany"
"CZ","PlzeÅˆ","cocaine",162.31,,2023,,,"no previous data","CZ005","ÄŒOV PlzeÅˆ",49.73945,13.37329,178677,"T.G.Masaryk Water Research Institute"
"PT","Porto","cocaine",512.53,265.85,2023,2022,"92.8","increase","PT003","Porto",41.157944,-8.629105,150000,"USC"
"CZ","Prague NVL","cocaine",456.25,533.43,2023,2022,"-14.5","decrease","CZ007","ÃšÄŒOV Praha",50.0763,14.43952,760000,"T.G.Masaryk Water Research Institute"
"AT","Purgstall","cocaine",24.89,38.8,2023,2022,"-35.9","decrease","AT013","GAV Erlauftal",48.057812,15.13545,11000,"Medical University Innsbruck"
"AT","Region MillstÃ¤ttersee","cocaine",216.28,110.57,2023,2022,"95.6","increase","AT011","Wasserverband Millstaettersee",46.81924,13.52146,76000,"Medical University Innsbruck"
"LV","Riga","cocaine",231.72,201.61,2023,2022,"14.9","increase","LV001","Riga",56.94965,24.105186,619703,"Toxicological Centre"
"NL","Rotterdam (2)","cocaine",1088.44,,2023,,,"no previous data","NL006","Rotterdam Kralingseveer; Rotterdam Dokhaven",51.92288,4.47847,612912,"N/A"
"DE","SaarbrÃ¼cken (2)","cocaine",244.91,195.67,2023,2022,"25.2","increase","DE030","Brebach; Burbach",49.240157,6.996933,203643,"IFT Institut fÃ¼r Therapieforschung"
"AT","Salzburg","cocaine",253.83,192.23,2023,2022,"32","increase","AT014","ARA Siggerwiesen",47.811195,13.033229,424000,"Medical University Innsbruck"
"ES","Santiago","cocaine",627.43,505.1,2023,2022,"24.2","increase","ES007","Silvouta",42.88,-8.54,136500,"IAQBUS"
"AT","Steyr","cocaine",132.04,81.8,2023,2022,"61.4","increase","AT015","Reinhaltungsverband Steyr und Umgebung",48.05009,14.41827,81000,"Medical University Innsbruck"
"AT","Strass im Zillertal","cocaine",223.01,149.22,2023,2022,"49.5","increase","AT016","AIZ Abwasserverband",47.395748,11.82211,129000,"Medical University Innsbruck"
"EE","Tallinn","cocaine",282.82,201.83,2023,2022,"40.1","increase","EE005","AS Tallinna Vesi",59.436962,24.753574,480000,"Estonian Forensic Science Institute"
"FI","Tampere","cocaine",47.43,13.21,2023,2022,"259","increase","FI024","Viinikanlahti",61.49,23.77,200000,"THL/Forensic Toxicology"
"ES","Tarragona","cocaine",1463.91,1610.55,2023,2022,"-9.1","stable","ES008","Tarragona",41.1190145116416,1.24570728603803,146995,"URV"
"EE","Tartu","cocaine",178.32,67.26,2023,2021,"165.1","increase","EE006","AS Tartu VeevÃ¤rk",58.3770174887881,26.7297981416611,100000,"Estonian Forensic Science Institute"
"FI","Turku","cocaine",59.46,18.29,2023,2022,"225.1","increase","FI025","KakolanmÃ¤ki",60.44,22.24,300000,"THL/Forensic Toxicology"
"SE","Uppsala","cocaine",68.55,77.12,2023,2021,"-11.1","decrease","SE008","KungsÃ¤ngsverket",59.858562,17.638927,200000,"SLU"
"NL","Utrecht","cocaine",734.55,651.63,2023,2022,"12.7","increase","NL009","RWZI Utrecht",52.0858002,5.1308398,274188,"KWR Water Research Institute"
"ES","Valencia (3)","cocaine",615.43,724.12,2023,2022,"-15","decrease","ES009","Pinedo I; Pinedo II; Quart-Benager",39.46,-0.33,1471771,"Research Institute for Pesticides and Water, University Jaume I"
"SI","Velenje","cocaine",376.11,201.05,2023,2022,"87.1","increase","SI007","Central wastewater treatment plant Å aleÅ¡ke Doline (Å alek Valley)",46.362274,15.110658,32583,"JoÅ¾ef Stefan Institute, Environmental department, Laboratory for organic analysis"
"LT","Vilnius","cocaine",124.03,123.73,2023,2022,"0.2","stable","LT003","Vilniaus vandenys",54.687156,25.279651,576727,"Toxicological Centre"
"SE","VÃ¤xjÃ¶","cocaine",140.57,59.92,2023,2022,"134.6","increase","SE009","Sundets ARV",56.858257,14.761215,75042,"RISE"
"AT","Wasserverband Hofsteig","cocaine",271.05,320.13,2023,2022,"-15.3","decrease","AT003","ARA Hofsteig",47.4852,9.6762,123000,"Medical University Innsbruck"
"AT","Wien","cocaine",442.74,370.58,2023,2022,"19.5","increase","AT017","HauptklÃ¤ranlage Wien",48.210033,16.363449,3132000,"Medical University Innsbruck"
"AT","Wiener Neustadt","cocaine",268.27,175.45,2023,2022,"52.9","increase","AT018","AWV Wr. Neustadt-SÃ¼d",47.80279,16.23318,136000,"Medical University Innsbruck"
"AT","Wildon","cocaine",188.89,167.42,2023,2022,"12.8","increase","AT019","Abwasserverband Grazerfeld",46.885708,15.518532,75000,"Medical University Innsbruck"
"HR","Zagreb","cocaine",567.95,401.19,2023,2022,"41.6","increase","HR001","Central wastewater treatment plant of the city of Zagreb",45.7929993,15.9463997,650000,"IUPA"
"CZ","ÄŒeskÃ© BudÄ›jovice","cocaine",128.73,100.95,2023,2022,"27.5","increase","CZ002","UCOV CB",48.96,14.46,110000,"FFPW USB"
