Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Türkiye,126,105,162,232,497,590,920,941,657,342,314,270,246
Norway,248,262,246,234,266,289,282,247,286,275,324,241,321
Finland,156,197,213,201,176,166,194,200,261,234,258,287,250
Netherlands,94,103,118,144,123,197,235,262,224,252,295,298,332
Sweden,371,373,429,481,632,675,605,643,583,555,533,450,519
Germany,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1466,1631
Other countries,3347,3323,3177,3134,3192,3288,3295,3354,3337,3465,3439,3556,3660
