"Substance","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Amphetamine",100,93,103,105,102,68,77,80,82,73,105
"Cannabis resin",100,99,96,96,101,99,102,109,29,68,82
"Cocaine",100,101,102,107,113,122,130,139,96,102,126
"Herbal cannabis",100,102,110,101,94,101,92,95,79,80,77
"Heroin",100,96,95,105,87,84,85,71,69,70,72
"MDMA",100,123,158,194,189,169,191,224,140,112,160
"Methamphetamine",100,98,120,137,164,165,172,185,176,204,280
