Country,Substance,Type,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belgium,MDMA,powder/crystal,0,0,0.003,0.009,0.029,0,0.587,0.25,0.351,0.249,0
Estonia,MDMA,powder/crystal,0,0,0.003,0.013,0.013,0.006,0.008,0.034,0.071,0.03,0.001
Bulgaria,MDMA,powder/crystal,0.03,0.029,0.148,0,0.181,0.322,0.32,0.107,0.076,0.26,0.004
Lithuania,MDMA,powder/crystal,0,0,0.002,0.001,0.008,0.022,0.017,0.283,0.05,0.007,0.053
Poland,MDMA,powder/crystal,0,0,0,0.078,0,0,0.408,0.323,0.139,0.236,0.065
Spain,MDMA,powder/crystal,0,0,0,0,0,0,0.293,0.34,0.222,0.43,0.321
Other countries,MDMA,powder/crystal,0.101,0.054,0.51,0.806,2.021,1.425,0.691,0.95,0.685,0.476,0.721
