Country,Substance,Type,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Türkiye,Cocaine,Cocaine HCI,0.5,0.4,0.4,0.5,0.8,1.5,1.5,1.6,2,2.8,2.3
Portugal,Cocaine,Cocaine HCI,4,2.4,3.7,6,1,2.7,5.5,10.6,10.1,9.9,16.5
Italy,Cocaine,Cocaine HCI,5.3,5,3.9,4,4.1,4.1,3.6,8.2,13.4,20.1,26.1
France,Cocaine,Cocaine HCI,5.6,5.6,6.9,10.9,8.5,17.5,16.4,15.8,13.1,26.5,27.7
Spain,Cocaine,Cocaine HCI,20.8,26.7,21.7,21.6,15.6,41,48.5,37.9,36.9,48.9,58.3
Other countries,Cocaine,Cocaine HCI,12.9,15.6,12.6,17.4,17.9,24.9,45.7,62.6,67.4,101.8,83.1
Belgium,Cocaine,Cocaine HCI,19.2,6.5,9.3,17.5,30.3,44.8,53,65.2,70.3,96.3,110.9
