"Scope","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"EU",66.8,67.4,68.3,71.6,75.3,81.8,87.2,93.2,64.4,67.9,84.2
"EU+2",69.2,69.3,70.1,73.9,78,86.9,92.6,97.7,68.4,72.1,89.5
