"Substance","Index for","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Cocaine","Price",100,100.92,103.5,104.98,108.71,106.67,105.46,100.98,101.21,102.48,96.02
"Cocaine","Purity",100,109.29,104.15,110.06,123.08,128.78,130.6,135.75,134.71,139.77,145.43
