"Substance","Index for","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Heroin","Price",100,95.19,89.81,93.03,94.09,92.56,90.2,83.47,88.63,83.66,75.76
"Heroin","Purity",100,118.05,144.74,143.3,135.22,134.81,139.95,151.79,142.19,135.96,143.8
