Country,2016,2017,2018,2019,2020,2021,2022
Italy,6394,6483,5217,4880,4257,4213,4194
Spain,9278,9122,9485,10372,7334,8529,8529
France,11601,9828,9868,8934,6504,10680,10680
Germany,15097,13633,15895,15895,16594,16804,14981
Other countries,17053,17836,18968,18580,14932,15596,15700
