"Substance","Unit","Measure","low","0.25","0.75","high"
"Cocaine","EUR/g","Retail",31.69,61.71,85,120
"Cocaine","EUR/kg","Wholesale",27214,35757,39100,55000
"Cocaine","%","Purity",52.13,64.38,75.8,83.43
