Country,2016,2017,2018,2019,2020,2021,2022
France,878,1035,1300,1252,1014,1911,1911
Germany,1713,1358,1533,1533,1793,2035,2076
Italy,7417,7993,6014,6255,5890,6313,6055
Other countries,3430,4003,4908,5397,4903,5570,6644
Spain,9052,10393,10871,12491,9092,10647,10647
