"Age range","<15","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65+"
2010,0.1,5.5,20,21.9,18.2,13.8,10.9,6.2,2.4,0.7,0.2,0.1
2022,1.7,8.7,11.5,12.5,13.4,14.3,13.3,10.2,7.3,4.5,1.7,0.9
